Screen,Section/Panel,Element Type,Element Label/Name,Notes,Logic,Input Data,Output Data
Activity,Activity Timeline,Event Card,Task Completed,Operational event with task reference,Render operational event,event of type task_completed,Route: /submissions/{subId}?tab=tasks
Activity,Activity Timeline,Event Card,Risk Assessed,Milestone event with risk score,Render milestone event,event of type risk_assessed,Route: /submissions/{subId}?tab=risk
Activity,Timeline Footer,Stat,Events Shown,Shows count of filtered vs total events,Render filtered vs total counts,filtered.length + total,-
Activity,Timeline Footer,Stat,Data Retention,Shows 90-day retention policy,Render retention policy notice,Static text,-
Notifications,Hero,Section Header,Notifications,System alerts title,Render page title,Static text,-
Notifications,Hero,Button,Mark all read,Marks all notifications as read,Mark all unread as read,Current notifications,PATCH /api/notifications/mark-all-read
Notifications,Toolbar,Tab,All,Shows all notifications,Set filter to all,?filter URL param,Sets ?filter=all
Notifications,Toolbar,Tab,Unread,Filters to unread notifications,Set filter to unread,?filter URL param,Sets ?filter=unread
Notifications,Toolbar,Tab,Mentions,Filters to mention notifications,Set filter to mentions,?filter URL param,Sets ?filter=mentions
Notifications,Toolbar,Tab,Critical,Filters to critical severity notifications,Set filter to critical,?filter URL param,Sets ?filter=critical
Notifications,Toolbar,Dropdown,Category Filter,"Filter by category (All, Mention, Approval, Task, SLA, Submission, System)",Filter notifications by category,?category URL param,Sets ?category=<value>
Notifications,Stream,Notification Row,Critical Alert,Red-highlighted notification with critical badge,Render critical notification,GET /api/notifications,Click -> Route to target + PATCH read
Notifications,Stream,Notification Row,Approval Notification,Amber-highlighted approval with category badge,Render approval notification,GET /api/notifications,Click -> Route: /approvals + PATCH read
Notifications,Stream,Notification Row,Mention,Notification with mention category,Render mention notification,GET /api/notifications,Click -> Route to context + PATCH read
Notifications,Stream,Notification Row,Task Notification,Task-related notification,Render task notification,GET /api/notifications,Click -> Route: /tasks + PATCH read
Notifications,Stream,Notification Row,SLA Alert,SLA warning notification,Render SLA alert,GET /api/notifications,Click -> Route to subject + PATCH read
Notifications,Stream,Notification Row,Submission Update,Submission status change notification,Render submission update,GET /api/notifications,Click -> Route: /submissions/{id} + PATCH read
Notifications,Stream,Notification Row,System Message,Muted system notification,Render system notification,GET /api/notifications,PATCH read on view
Notifications,Stream,Button,Mark Read,Per-notification mark-as-read button,Mark this notification read,notification.id,PATCH /api/notifications/{id}/read
Notifications,Stream,Link,Submission ID,Clickable link to submission detail,Navigate to submission,notification.submissionId,Route: /submissions/{id}
Task Queue,Hero,Section Header,Task Queue,Master task queue title,Render page title,Static text,-
Task Queue,Hero,Button,New Task,Create new task,Open new task modal,User click,Modal open state
Task Queue,KPI Strip,KPI Card,My Open Tasks,Shows count of open tasks assigned to user,Count open tasks for user,GET /api/tasks?assignee=me&status=open,-
Task Queue,KPI Strip,KPI Card,Overdue,Shows count of overdue tasks,Count tasks past due date,GET /api/tasks?overdue=true,-
Task Queue,KPI Strip,KPI Card,Due Today,Shows count of tasks due today,Count tasks due today,GET /api/tasks?dueDate=today,-
Task Queue,KPI Strip,KPI Card,In Progress,Shows count of in-progress tasks,Count tasks in progress,GET /api/tasks?status=in_progress,-
Task Queue,KPI Strip,KPI Card,Completed (MTD),Shows count of completed tasks this month,Count completed tasks MTD,GET /api/tasks?status=done&period=mtd,-
Task Queue,KPI Strip,KPI Card,SLA at Risk,Shows count of tasks at 80%+ SLA usage,Count tasks with SLA usage >= 80%,GET /api/tasks?slaAtRisk=true,-
Task Queue,Task Queue Card,Tab,My Tasks,Filters to assigned tasks,Set scope filter to mine,?scope URL param,Sets ?scope=mine
Task Queue,Task Queue Card,Tab,Team Tasks,Filters to team tasks,Set scope filter to team,?scope URL param,Sets ?scope=team
Task Queue,Task Queue Card,Tab,Unassigned,Filters to unassigned tasks,Set scope filter to unassigned,?scope URL param,Sets ?scope=unassigned
Task Queue,Task Queue Card,Tab,Overdue,Filters to overdue tasks,Set scope filter to overdue,?scope URL param,Sets ?scope=overdue
Task Queue,Task Queue Card,Dropdown,Priority Filter,"Dropdown for Critical, High, Medium, Low",Filter tasks by priority,?priority URL param,Sets ?priority=<value>
Task Queue,Task Queue Card,Dropdown,Type Filter,"Dropdown for Document Request, Review, Communication, Analysis, Decision",Filter tasks by type,?type URL param,Sets ?type=<value>
Task Queue,Task Queue Card,Column,Priority,Colored dot indicator with priority label,Render priority dot,task.priority,-
Task Queue,Task Queue Card,Column,Task,Task title and member name,Render task title + member,task.title + task.member,-
Task Queue,Task Queue Card,Column,Submission,Submission ID link,Render submission link,task.submissionId,Route: /submissions/{id}
Task Queue,Task Queue Card,Column,Assignee,Assignee avatar and name,Render assignee,task.assignee,-
Task Queue,Task Queue Card,Column,Type,Task type label,Render task type,task.type,-
Task Queue,Task Queue Card,Column,SLA,SLA usage bar with percentage,Render SLA usage bar,task.slaUsage,-
Task Queue,Task Queue Card,Column,Due Date,Due date with alert icon if overdue/at-risk,Render due date with urgency indicator,task.dueDate + now(),-
Task Queue,Task Queue Card,Column,Status,"Status pill (Open, In Progress, Done, Overdue)",Render status pill,task.status,-
Task Queue,Pagination,Button,Prev,Previous page button,Navigate to previous page,?page URL param,Sets ?page=<prev>
Task Queue,Pagination,Button,Next,Next page button,Navigate to next page,?page URL param,Sets ?page=<next>
Task Queue,Pagination,Button,Page Numbers,Numbered pagination buttons,Jump to specific page,User click,Sets ?page=<n>
Task Queue,Pagination,Stat,Row Count,Shows current row range and total,Render pagination info,?page + tasks.length,-
Approvals,Hero,Section Header,Approval Queue,Referrals and exceptions title,Render page title,Static text,-
Approvals,Hero,Button,Authority Matrix,Link to authority guidelines,Open authority matrix doc/page,User click,Route or modal to authority matrix
Approvals,Urgent Panel,Section Header,Needs your decision now,Urgent alert header,Render section title,Static text,-
Approvals,Urgent Panel,Stat,Escalated Count,Number of escalated items,Count escalated approvals,GET /api/approvals?escalated=true,-
Approvals,Urgent Panel,Stat,Critical Count,Number of critical priority items,Count critical-priority approvals,GET /api/approvals?priority=critical,-
Approvals,Urgent Panel,Stat,SLA-Breached Count,Number of SLA-breached items,Count SLA-breached approvals,GET /api/approvals?slaBreached=true,-
Approvals,Urgent Panel,Urgent Card,Escalated Badge,Shows escalation status,Render escalation badge,approval.escalated,-
Approvals,Urgent Panel,Urgent Card,Critical Badge,Shows critical priority,Render critical badge,approval.priority,-
Approvals,Urgent Panel,Urgent Card,SLA Breach Badge,Shows SLA breach status and duration,Render SLA breach badge,approval.slaBreach,-
Approvals,Urgent Panel,Button,Approve,Approve action button,Approve the approval request,approval.id + user.id,PATCH /api/approvals/{id}/approve
Approvals,Urgent Panel,Button,Decline,Decline action button,Decline the approval request,approval.id + user.id,PATCH /api/approvals/{id}/decline
Approvals,Queue,Tab,Awaiting,Shows pending approvals,Set status filter to pending,?status URL param,Sets ?status=pending
Approvals,Queue,Tab,My Requests,Filters to user submitted requests,Set scope filter to mine,?scope URL param,Sets ?scope=mine
Approvals,Queue,Tab,Escalated,Filters to escalated requests,Set status filter to escalated,?status URL param,Sets ?status=escalated
Approvals,Queue,Tab,Decided,Filters to approved/declined requests,Set status filter to decided,?status URL param,Sets ?status=decided
Approvals,Queue,Dropdown,Approval Type Filter,"Filter by Premium Authority, Coverage Exception, Limit Increase, etc.",Filter approvals by type,?type URL param,Sets ?type=<value>
Approvals,Queue Table,Column,Request,Approval reason/description,Render request reason,approval.reason,-
Approvals,Queue Table,Column,Submission,Submission ID link,Render submission link,approval.submissionId,Route: /submissions/{id}
Approvals,Queue Table,Column,Amount,Dollar amount with currency icon,Render amount formatted,approval.amount,-
Approvals,Queue Table,Column,Requester,Requester avatar and name,Render requester,approval.requestedBy,-
Approvals,Queue Table,Column,Age,Hours/days open with raised date,Compute age from raisedAt,approval.raisedAt + now(),-
Approvals,Queue Table,Column,Status,"Status pill (Pending, Approved, Declined, Escalated)",Render status pill,approval.status,-
Approvals,Queue Table,Column,Action,Approve/Decline buttons for pending items,Render inline action buttons,approval.status,PATCH /api/approvals/{id}/approve or /decline
Approvals,Pagination,Button,Prev,Previous page button,Navigate to previous page,?page URL param,Sets ?page=<prev>
Approvals,Pagination,Button,Next,Next page button,Navigate to next page,?page URL param,Sets ?page=<next>
Approvals,Pagination,Button,Page Numbers,Numbered pagination buttons,Jump to specific page,User click,Sets ?page=<n>
Approvals,Pagination,Stat,Row Count,Shows current row range and total,Render pagination info,?page + approvals.length,-
Inbox,Folder Panel,Tab,Inbox,Filters to inbox folder,Set folder filter to inbox,?folder URL param,Sets ?folder=inbox
Inbox,Folder Panel,Tab,Sent,Filters to sent folder,Set folder filter to sent,?folder URL param,Sets ?folder=sent
Inbox,Folder Panel,Tab,Archive,Filters to archived emails,Set folder filter to archive,?folder URL param,Sets ?folder=archive
Inbox,Folder Panel,Button,Refresh,Refresh email list,Refetch email list,GET /api/inbox,Cache invalidation
Inbox,Folder Panel,Button,Filter,Filter emails,Open advanced filter panel,User click,Filter panel open state
Inbox,Folder Panel,Search,Search Input,"Search by subject, sender, or company",Filter emails by query,User text,Sets ?q=<text>
Inbox,Email List,Email Row,Unread Email,Shows unread status with bold text,Render unread email row; navigate on click,email object,Click -> select email + PATCH read
Inbox,Email List,Email Row,Flagged Email,Shows star flag indicator,Render flagged email,email.flagged,Click -> select email
Inbox,Email List,Email Row,System Alert,System notification with bell icon,Render system alert email,email.type = system,-
Inbox,Email List,Badge,Unread Count,Shows count of unread inbox emails,Count unread emails,emails filtered by unread,-
Inbox,Email List,Badge,Attachment Count,Shows count of attachments,Count attachments on email,email.attachments.length,-
Inbox,Email List,Tag,Broker,Email tagged as broker correspondence,Render broker tag,email.tags,-
Inbox,Email List,Tag,New Submission,Email tagged as new submission,Render new-submission tag,email.tags,-
Inbox,Email List,Tag,Follow-up,Email tagged as follow-up,Render follow-up tag,email.tags,-
Inbox,Email Viewer,Section Header,Email Subject,Full subject line,Render subject,email.subject,-
Inbox,Email Viewer,Badge,Reply Indicator,Marks thread as reply,Render reply badge,email.inReplyTo,-
Inbox,Email Viewer,Sender Block,Sender Avatar,Colored avatar with initials,Render sender initials,email.sender.initials,-
Inbox,Email Viewer,Sender Block,Sender Name,Sender full name,Render sender name,email.sender.name,-
Inbox,Email Viewer,Sender Block,Sender Company,Organization name,Render sender company,email.sender.company,-
Inbox,Email Viewer,Sender Block,Sender Email,Email address,Render sender email,email.sender.email,-
Inbox,Email Viewer,Button,Archive,Archive email button,Move email to archive,email.id,PATCH /api/inbox/{id}/archive
Inbox,Email Viewer,Button,Delete,Delete email button,Soft-delete email,email.id,DELETE /api/inbox/{id}
Inbox,Email Viewer,Button,More,More options menu button,Open menu of secondary actions,User click,Menu open state
Inbox,Email Viewer,Auto-Create Banner,Auto-Created Status,Green banner for successful auto-create,Render success banner when submission auto-created,email.autoCreate.status,-
Inbox,Email Viewer,Auto-Create Banner,Draft Status,Amber banner for draft with validation issues,Render draft banner with validation issues,email.autoCreate.draftStatus,-
Inbox,Email Viewer,Attachment List,Attachment Chip,File name with size and download button,Render attachment chip with download,email.attachments,GET /api/files/{id}/download
Inbox,AI Toolbar,Button,Create Submission,Create new submission from email,Parse email and prefill new submission,email content,POST /api/submissions/from-email -> Route: /submissions/new
Inbox,AI Toolbar,Button,Parse Attachments,Parse attachment content,Parse attachments via AI,email.attachments,POST /api/ai/parse-attachments
Inbox,AI Toolbar,Button,Check Duplicates,Check for duplicate accounts,Search for duplicate accounts,email.sender + content,POST /api/ai/check-duplicates
Inbox,AI Toolbar,Button,Close Panel,Close AI result panel,Close AI panel,User click,Panel closed state
Inbox,Email Body,Text Content,Email body content,Full email message text,Render email body HTML,email.body,-
Inbox,AI Result Panel,Panel Header,Create,Auto-create result panel header,Render result header,AI action result,-
Inbox,AI Result Panel,Panel Header,Parse,Parse attachments result panel header,Render result header,AI action result,-
Inbox,AI Result Panel,Panel Header,Duplicates,Duplicate check result panel header,Render result header,AI action result,-
Appetite,Page Header,Section Header,Appetite & Rules,Main page title,Render page title,Static text,-
Appetite,Page Header,Button,Edit Rules,Admin-only edit button for appetite rules,Open rule editor; admin-only,user.role,Route or modal to rule editor
Appetite,Page Header - Status Strip,KPI Card,Overall Appetite Score,Displays aggregate score out of 100,Compute weighted overall score,GET /api/appetite/score,-
Appetite,Page Header - Status Strip,KPI Card,Rules In Appetite,Count and ratio of in-appetite rules,Count rules with status=in_appetite,GET /api/appetite/rules,-
Appetite,Page Header - Status Strip,KPI Card,Watch Flags,Count of rules on watch,Count rules with status=watch,GET /api/appetite/rules,-
Appetite,Page Header - Status Strip,KPI Card,Out of Appetite,Count of out-of-appetite rules,Count rules with status=out,GET /api/appetite/rules,-
Appetite,Content - View Toggle,Tab,Appetite Rules,Switches to rules view with category filters,Set view to rules,?view URL param,Sets ?view=rules
Appetite,Content - View Toggle,Tab,Score Model,Switches to scoring view with model breakdown,Set view to score model,?view URL param,Sets ?view=score
Appetite,Content - Category Filter,Button,All,Shows all rules without filtering,Clear category filter,?category URL param,Clears ?category
Appetite,Content - Category Filter,Button,Loss Performance,Filter rules by Loss Performance category,Filter by category,?category URL param,Sets ?category=loss_performance
Appetite,Content - Category Filter,Button,Institution Type,Filter rules by Institution Type category,Filter by category,?category URL param,Sets ?category=institution_type
Appetite,Content - Category Filter,Button,Exposure Limits,Filter rules by Exposure Limits category,Filter by category,?category URL param,Sets ?category=exposure_limits
Appetite,Content - Category Filter,Button,Safety Standards,Filter rules by Safety Standards category,Filter by category,?category URL param,Sets ?category=safety_standards
Appetite,Content - Category Filter,Button,Ineligible Risks,Filter rules by Ineligible Risks category,Filter by category,?category URL param,Sets ?category=ineligible_risks
Appetite,Content - Category Filter,Button,Authority Limits,Filter rules by Authority Limits category,Filter by category,?category URL param,Sets ?category=authority_limits
Appetite,Rules View - Section,Section Header,Appetite Rules,Displays filtered rules with status counts,Render section header with counts,filtered rules,-
Appetite,Rules View - Rule Row,Column,Rule ID,"Monospace identifier (R01, R02, etc.)",Render rule ID,rule.id,-
Appetite,Rules View - Rule Row,Column,Rule Name,Human-readable rule title,Render rule name,rule.name,-
Appetite,Rules View - Rule Row,Column,Weight,Percentage weight in scoring model,Render weight %,rule.weight,-
Appetite,Rules View - Rule Row,Column,Configurable Status,Shows if rule is editable or system-locked,Render configurable indicator,rule.configurable,-
Appetite,Rules View - Rule Row,Column,Threshold,Rule threshold or constraint value,Render threshold value,rule.threshold,-
Appetite,Rules View - Rule Row,Column,Current Value,Current value against threshold,Render current value vs threshold,rule.currentValue,-
Appetite,Rules View - Rule Row,Column,Status Badge,In Appetite / Watch / Out of Appetite indicator,Render rule status badge,rule.status,-
Appetite,Score Model View - Overall Score,KPI Card,Appetite Score Model,Main score card with ring display,Render score ring,GET /api/appetite/score,-
Appetite,Score Model View - Overall Score,Stat,Overall Score,Weighted aggregate out of 100,Compute weighted score,scoreModel.components,-
Appetite,Score Model View - Components,Column,Component Name,"Score component label (Loss History, Institution Type, etc.)",Render component label,component.name,-
Appetite,Score Model View - Components,Column,Weight,Percentage weight in overall score,Render weight %,component.weight,-
Appetite,Score Model View - Components,Column,Score,Individual component score out of 100,Render component score,component.score,-
Appetite,Authority Table,Column,Role,"User role (Underwriter, Sr. UW, Manager, Director)",Render role label,authority.role,-
Appetite,Authority Table,Column,TIV Limit,Transaction value limit for role,Render TIV limit,authority.tivLimit,-
Appetite,Authority Table,Column,Single Premium Cap,Max single policy premium for role,Render premium cap,authority.singlePremiumCap,-
Appetite,Authority Table,Column,Referral Required Above,Threshold above which escalation required,Render referral threshold,authority.referralThreshold,-
Appetite,Authority Table,Column,Notes,Additional notes for role,Render notes,authority.notes,-
Renewals,Page Hero,Section Header,Renewals,Main page title,Render page title,Static text,-
Renewals,Page Hero,Button,Sync Policy Book,Refresh policy data from external source,Sync policy book from external system,User click,POST /api/renewals/sync
Renewals,Page Hero - Status,Stat,Overdue Count,Number of overdue renewal policies,Count overdue renewals,GET /api/renewals?overdue=true,-
Renewals,Page Hero - Status,Stat,Overdue Exposure,Total premium of overdue policies,Sum overdue premium,renewals filtered by overdue,-
Renewals,Page Hero - Status,Stat,At Risk Count,Number of at-risk renewal policies,Count at-risk renewals,GET /api/renewals?atRisk=true,-
Renewals,Page Hero - Status,Stat,At Risk Exposure,Total premium at risk,Sum at-risk premium,renewals filtered by atRisk,-
Renewals,Page Hero - Status,Stat,Remaining Days,Days until next renewal in pipeline,Compute days to next renewal,renewals.next.expiresAt,-
Renewals,Health Metrics - Overdue,KPI Card,Overdue,Count of overdue renewals with exposure,Render count + exposure,GET /api/renewals/metrics?type=overdue,-
Renewals,Health Metrics - At-Risk,KPI Card,At-Risk Exposure,Total premium in at-risk status,Render at-risk exposure,GET /api/renewals/metrics?type=at_risk,-
Renewals,Health Metrics - Loss Ratio,KPI Card,Loss Ratio > 100%,Count and exposure of high-loss policies,Count policies with loss ratio > 100%,GET /api/renewals/metrics?lossRatio=high,-
Renewals,Health Metrics - Quote Coverage,KPI Card,Quote Coverage - <60d,Percentage of renewals <60d with quotes,Compute % of <60d renewals with quotes,GET /api/renewals/metrics?type=quote_coverage,-
Renewals,Time-Window Filter,Button,All Renewals,Shows all renewals without time filter,Clear time filter,?window URL param,Clears ?window
Renewals,Time-Window Filter,Button,Within 120 days,Filter renewals expiring within 120 days,Filter by window,?window URL param,Sets ?window=120
Renewals,Time-Window Filter,Button,Within 90 days,Filter renewals expiring within 90 days,Filter by window,?window URL param,Sets ?window=90
Renewals,Time-Window Filter,Button,Within 60 days,Filter renewals expiring within 60 days,Filter by window,?window URL param,Sets ?window=60
Renewals,Time-Window Filter,Button,Within 30 days,Filter renewals expiring within 30 days,Filter by window,?window URL param,Sets ?window=30
Renewals,Time-Window Filter,Button,Overdue,Filter overdue renewals,Filter to overdue,?window URL param,Sets ?window=overdue
Renewals,Renewals Table - Card Header,Section Header,Renewal Pipeline,Table title with exposure summary,Render table title,Static text + filtered exposure,-
Renewals,Renewals Table - Toolbar,Tab,Upcoming,Filter to upcoming renewals within 45 days,Set scope to upcoming,?scope URL param,Sets ?scope=upcoming
Renewals,Renewals Table - Toolbar,Tab,My Renewals,Filter to renewals assigned to current user,Set scope to mine,?scope URL param,Sets ?scope=mine
Renewals,Renewals Table - Toolbar,Tab,At Risk,Filter to at-risk status renewals,Set scope to at-risk,?scope URL param,Sets ?scope=at_risk
Renewals,Renewals Table - Toolbar,Tab,Bound,Filter to bound/closed renewals,Set scope to bound,?scope URL param,Sets ?scope=bound
Renewals,Renewals Table - Toolbar,Select,Status Filter,Dropdown to filter by specific renewal status,Filter by status,?status URL param,Sets ?status=<value>
Renewals,Renewals Table - Column Headers,Column,Policy,Policy ID,Render policy ID,renewal.policyId,Route: /policies/{id}
Renewals,Renewals Table - Column Headers,Column,Account,Account name and metadata,Render account name,renewal.account,-
Renewals,Renewals Table - Column Headers,Column,Product,Insurance product line,Render product line,renewal.product,-
Renewals,Renewals Table - Column Headers,Column,Expires,Expiration date and urgency indicator,Render expiry with urgency,renewal.expiresAt + now(),-
Renewals,Renewals Table - Column Headers,Column,Premium,Expiring premium amount,Render premium,renewal.premium,-
Renewals,Renewals Table - Column Headers,Column,Loss Ratio,Loss ratio percentage with visual bar,Render loss ratio bar,renewal.lossRatio,-
Renewals,Renewals Table - Column Headers,Column,Assignee,User assigned to renewal,Render assignee,renewal.assignee,-
Renewals,Renewals Table - Column Headers,Column,Status,Renewal status badge,Render status badge,renewal.status,-
Renewals,Renewals Table - Pagination,Button,Previous,Navigate to previous page,Navigate to previous page,?page URL param,Sets ?page=<prev>
Renewals,Renewals Table - Pagination,Button,Page Number,Jump to specific page number,Jump to page,User click,Sets ?page=<n>
Renewals,Renewals Table - Pagination,Button,Next,Navigate to next page,Navigate to next page,?page URL param,Sets ?page=<next>
Quote Builder,Page Header,Section Header,Quote Builder,Page title with submission ID,Render page title,submission.id,-
Quote Builder,Page Header,Button,Issue Quote,Issue quote and change status to issued,Issue the quote; transition status to issued,Quote draft state,PATCH /api/quotes/{id}/issue
Quote Builder,Page Header,Button,Send to Broker,Open modal to send quote to broker,Open send-to-broker modal,User click,Modal open state
Quote Builder,Product Selection - Liability,Checkbox,Employment Practices Liability (EPL),Select/deselect EPL coverage,Toggle EPL product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Liability,Checkbox,Educators Legal Liability (ELL),Select/deselect ELL coverage,Toggle ELL product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Liability,Checkbox,General Liability (GL),Select/deselect GL coverage,Toggle GL product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Liability,Checkbox,Management Liability (ML),Select/deselect ML coverage,Toggle ML product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Property & Auto,Checkbox,Property,Select/deselect Property coverage,Toggle Property product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Property & Auto,Checkbox,Commercial Automobile (Auto),Select/deselect Auto coverage,Toggle Auto product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Specialty,Checkbox,Crime / Fidelity (Crime),Select/deselect Crime coverage,Toggle Crime product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Specialty,Checkbox,Cyber Liability (Cyber),Select/deselect Cyber coverage,Toggle Cyber product inclusion,quote.products selection,Updates quote.products
Quote Builder,Product Selection - Specialty,Checkbox,Student Accident (SA),Select/deselect Student Accident coverage,Toggle SA product inclusion,quote.products selection,Updates quote.products
Quote Builder,Option Management,Button,Add Option,Add additional option for selected product,Append new option to product,product.options,Updates product.options
Quote Builder,Option Management,Button,Duplicate Option,Duplicate current option with same settings,Clone current option,current option,Updates product.options
Quote Builder,Option Management,Button,Remove Option,Remove option from product (min 1 required),Remove option (min 1 required),product.options,Updates product.options
Quote Builder,Option Tab - Policy,Section Header,Coverage Limits & Terms,Coverage field configuration section,Render section header,Static text,-
Quote Builder,Option Tab - Policy,Field (Select),Each Claim Limit,Select claim limit (varies by product),User selects per-claim limit,Limit options list,Updates option.eachClaimLimit
Quote Builder,Option Tab - Policy,Field (Select),Aggregate Limit,Select aggregate limit (varies by product),User selects aggregate limit,Limit options list,Updates option.aggregateLimit
Quote Builder,Option Tab - Policy,Field (Select),Retention (Deductible),Select deductible amount,User selects retention,Retention options list,Updates option.retention
Quote Builder,Option Tab - Policy,Field (Date),Retroactive Date,Select coverage retroactive date,User picks retro date,User selection,Updates option.retroactiveDate
Quote Builder,Option Tab - Policy,Field (Select),Defense Basis,Choose within or outside limit defense,User selects defense basis,Static options,Updates option.defenseBasis
Quote Builder,Option Tab - Policy,Field (Select),Coverage Territory,Select USA Only / USA & Canada / Worldwide,User selects territory,Static options,Updates option.territory
Quote Builder,Option Tab - Policy,Section Header,Coverage Checklist & Pricing,Selected coverage items,Render section header,Static text,-
Quote Builder,Option Tab - Policy,Link,Select all,Quick action to select all coverage items,Select all coverage items,Coverage items list,Updates option.coverages (all checked)
Quote Builder,Option Tab - Policy,Link,Required only,Quick action to show only required items,Toggle view to required-only,UI state,Updates filter view
Quote Builder,Option Tab - Policy,Checkbox,Coverage Item,Individual coverage selection (varies by product),Toggle coverage inclusion,Coverage item config,Updates option.coverages
Quote Builder,Option Tab - Policy,Currency Input,Coverage Item Price,Edit surcharge price for optional coverage,Edit coverage surcharge,User entry,Updates option.coverageSurcharges
Quote Builder,Option Tab - Endorsements,Section Header,Endorsements,Available endorsements for product,Render section header,Static text,-
Quote Builder,Option Tab - Endorsements,Checkbox,Endorsement,Select endorsement to add to option,Toggle endorsement,Endorsements catalog,Updates option.endorsements
Quote Builder,Option Tab - Premium,Section Header,Premium Summary,Premium calculation breakdown,Render section header,Static text,-
Quote Builder,Option Tab - Premium,Currency Display,Base Premium,Starting premium amount,Render base premium,Computed from product + limits,-
Quote Builder,Option Tab - Premium,Currency Display,Coverage Surcharges,Total optional coverage surcharges,Sum coverage surcharges,option.coverageSurcharges,-
Quote Builder,Option Tab - Premium,Currency Display,Endorsement Premium,Total endorsement premium,Sum endorsement premium,option.endorsements pricing,-
Quote Builder,Option Tab - Premium,Currency Input,Manual Adjustment,Dollar amount adjustment field,Apply UW manual adjustment,User entry,Updates option.manualAdjustment
Quote Builder,Option Tab - Premium,Select,Adjustment Percentage,Percentage-based premium adjustment,Apply % adjustment,User selection,Updates option.adjustmentPct
Quote Builder,Option Tab - Premium,Currency Display,Total Premium,Final calculated premium,Compute: base + surcharges + endorsements + adjustment,All option fields,-
Quote Builder,Send Modal,Section Header,Send Quote to Broker,Modal title,Render modal title,Static text,-
Quote Builder,Send Modal,Field (Text),Broker / Agency,Broker/agency name input,Capture broker/agency,User entry,Form state: brokerName
Quote Builder,Send Modal,Field (Email),Broker Email,Broker email address input,Capture broker email,User entry,Form state: brokerEmail
Quote Builder,Send Modal,Field (Date),Quote Expiry Date,Quote expiration date picker,Capture quote expiry,User selection,Form state: expiryDate
Quote Builder,Send Modal,Field (Textarea),Cover Message,Message to broker accompanying quote,Capture cover message,User entry,Form state: coverMessage
Quote Builder,Send Modal,Button,Cancel,Close modal without sending,Close modal,User click,Modal closed
Quote Builder,Send Modal,Button,Send to Broker,Send quote to broker,Send quote email and transition status,Form state + quote.id,POST /api/quotes/{id}/send + email
Quote Builder,Negotiation Banner (if sent),Section Header,Quote Sent to Broker,Status of sent quote,Render status banner,quote.status = sent,-
Quote Builder,Negotiation Banner (if sent),Button,Open for Negotiation,Switch quote to negotiation status,Transition quote to negotiation,quote.id,PATCH /api/quotes/{id}/negotiate
Quote Builder,Negotiation Banner (if negotiating),Section Header,Under Negotiation,Status when negotiating,Render status banner,quote.status = negotiating,-
Quote Builder,Negotiation Banner (if negotiating),Button,Edit Quote,Edit quote while under negotiation,Enter edit mode on quote,quote.id,Edit mode state
Quote Preview,Page Header,Button,Back to Underwriting,Navigate back to submission/rating tab,Navigate back,User click,Route: /submissions/{id}?tab=rating
Quote Preview,Page Header,Badge,Quote Number,Quote ID (QTE-XXXXXX format),Render quote ID,quote.id,-
Quote Preview,Page Header,Badge,Status,DRAFT status badge,Render status badge,quote.status,-
Quote Preview,Page Header,Button,Print,Print quote document,Trigger browser print,User click,window.print()
Quote Preview,Page Header,Button,Download PDF,Download quote as PDF,Generate and download PDF,quote.id,GET /api/quotes/{id}/pdf -> file download
Quote Preview,Quote Summary,Field,Quote No.,Quote ID display,Render quote ID,quote.id,-
Quote Preview,Quote Summary,Field,Insured,Insured entity name,Render insured name,quote.insured,-
Quote Preview,Quote Summary,Field,Effective,Policy effective and expiration dates,Render effective + expiration dates,quote.effectiveDate + quote.expirationDate,-
Quote Preview,Quote Summary,Field,Broker,Broker name and firm,Render broker info,quote.broker,-
Quote Preview,Quote Summary,Field,Generated,Quote generation date,Render generation date,quote.generatedAt,-
Quote Preview,Quote Summary,Field,Products,Number of product lines,Render product count,quote.products.length,-
Quote Preview,Product Section - Header,Checkbox,Master Product Selection,Select/deselect all options for product,Toggle all options for product,product.options,Updates selection state
Quote Preview,Product Section - Header,Badge,Product Abbreviation,"Product code (GL, EPL, etc.)",Render product code,product.abbr,-
Quote Preview,Product Section - Header,Section Header,Product Name,Full product name,Render product name,product.name,-
Quote Preview,Product Section - Header,Badge,Category,"Product category (Liability, Property & Auto, etc.)",Render category,product.category,-
Quote Preview,Product Section - Header,Stat,Option Count,Number of options for product,Render option count,product.options.length,-
Quote Preview,Option Card,Checkbox,Option Selection,Select option for quote creation,Toggle option selection,selection state,Updates selectedOptions
Quote Preview,Option Card,Section Header,Option Label,"Option name (Option A, B, C, etc.)",Render option label,option.label,-
Quote Preview,Option Card,Badge,Selected,Indicator showing option is selected,Render selected indicator,selectedOptions contains option.id,-
Quote Preview,Option Card - Inline Details,Field,Coverage Field,First 3 coverage fields shown inline,Render top-3 coverage fields,option.coverages,-
